Date,NAV,PnL
2020-11-14,1.0,0.0
2020-11-15,1.011896119754799,0.011896119754799095
2020-11-16,1.0141162404915247,0.002220120736725617
2020-11-17,1.0268615757620554,0.012745335270530678
2020-11-18,1.0364356176898568,0.009574041927801424
2020-11-19,1.0416182076098779,0.0051825899200210745
2020-11-20,1.0366895530915339,-0.004928654518344011
2020-11-21,1.0580240017713005,0.021334448679766638
2020-11-22,1.0705739523651556,0.012549950593855108
2020-11-23,1.102012446891531,0.03143849452637548
2020-11-24,1.0984736430232684,-0.0035388038682626632
2020-11-25,1.0926133358326242,-0.005860307190644232
2020-11-26,1.140506065496877,0.04789272966425284
2020-11-27,1.1370734007372678,-0.0034326647596092386
2020-11-28,1.1549137661108988,0.017840365373630984
2020-11-29,1.168264875076444,0.013351108965545144
2020-11-30,1.1844959219367972,0.01623104686035326
2020-12-01,1.1897252538774614,0.005229331940664217
2020-12-02,1.1860461843294003,-0.0036790695480610758
2020-12-03,1.1830871128003515,-0.00295907152904884
2020-12-04,1.1944326315938893,0.011345518793537845
2020-12-05,1.1840504597537553,-0.010382171840134014
2020-12-06,1.1817521790743104,-0.0022982806794449306
2020-12-07,1.1835393261134224,0.0017871470391119804
2020-12-08,1.2060194233589088,0.022480097245486386
2020-12-09,1.2062305066991683,0.00021108334025954356
2020-12-10,1.206745514699092,0.0005150079999236556
2020-12-11,1.2216296170150012,0.014884102315909198
2020-12-12,1.2352839525867239,0.013654335571722687
2020-12-13,1.2475690835953483,0.012285131008624495
2020-12-14,1.2444318596830255,-0.0031372239123228507
2020-12-15,1.240872060576057,-0.0035597991069684642
2020-12-16,1.248531318803398,0.007659258227340926
2020-12-17,1.2608207444827353,0.012289425679337329
2020-12-18,1.260707383875592,-0.00011336060714328688
2020-12-19,1.2680344263673968,0.007327042491804825
2020-12-20,1.2639334006365024,-0.0041010257308944364
2020-12-21,1.2862087405887994,0.022275339952297024
2020-12-22,1.2856241129112662,-0.0005846276775332004
2020-12-23,1.3018205874006379,0.01619647448937167
2020-12-24,1.3173162918194115,0.01549570441877357
2020-12-25,1.326123511610073,0.008807219790661458
2020-12-26,1.3253092786371918,-0.0008142329728810793
2020-12-27,1.3437899117256469,0.018480633088455045
2020-12-28,1.3551228168718563,0.011332905146209438
2020-12-29,1.3567518832713765,0.001629066399520207
2020-12-30,1.364937087523513,0.008185204252136424
